REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
1,1,1,2,1,4,7,1,5,1,1,42687,1486.93,473.372,10513.414,2142.765,28070.519,8112,282.568,89.957,1997.911,407.199,5334.365
2,3,7,4,4,4,7,1,3,1,1,22657,4258.792,1138.615,5225.88,943.147,11090.565,2408,452.627,121.013,555.41,100.238,1178.712
3,7,21,2,3,3,4,1,1,0,1,14287,2859.265,3246.912,3819.138,726.305,3635.38,1769,354.031,402.029,472.881,89.93,450.129
3,6,19,5,4,1,1,1,2,2,0,8490,2143.179,2684.768,1363.129,689.554,1609.37,792,199.929,250.452,127.161,64.326,150.132
4,8,23,2,1,1,2,1,2,1,0,3305,0,228.882,0,580.335,2495.783,297,0,20.568,0,52.151,224.281
4,10,26,2,2,3,9,2,5,1,0,8532,1186.277,403.238,0,1258.651,5683.835,1541,214.258,72.83,0,227.33,1026.581
3,5,17,2,3,6,1,1,4,1,0,11649,498.295,4651.394,1003.457,864.228,4631.627,1435,61.383,572.989,123.612,106.461,570.554
4,10,26,5,5,4,1,1,1,1,0,4381,2198.817,0,0,827.402,1354.781,588,295.116,0,0,111.051,181.833
2,4,10,5,1,8,2,1,2,2,1,3070,1461.454,72.016,0,295.124,1241.407,374,178.04,8.773,0,35.953,151.233
4,9,24,5,2,6,3,1,2,1,0,9398,0,3097.936,0,1090.736,5209.329,1196,0,394.247,0,138.808,662.945
3,7,20,2,4,3,5,1,4,0,1,16186,0,2834.931,0,1143.638,12207.432,1612,0,282.337,0,113.897,1215.765
4,9,24,2,2,5,1,1,1,0,0,6618,965.114,1292.397,1055.236,870.003,2435.251,866,126.29,169.117,138.083,113.844,318.665
1,2,3,5,4,1,2,1,1,1,0,4230,2477.382,141.642,0,661.89,949.086,726,425.196,24.31,0,113.601,162.893
3,7,20,2,3,3,2,2,1,0,1,9728,0,2598.539,0,602.79,6526.671,1210,0,323.215,0,74.977,811.808
1,2,3,5,4,1,1,1,2,1,0,2058,0,112.948,0,395.853,1549.199,669,0,36.716,0,128.681,503.603
3,5,15,2,4,3,4,2,6,1,1,27067,458.901,5588.793,0,2720.781,18298.525,2928,49.642,604.573,0,294.323,1979.461
2,3,7,2,1,1,2,1,2,1,1,11226,0,726.394,2234.791,1243.399,7021.416,995,0,64.383,198.077,110.207,622.333
1,2,3,1,1,4,1,1,1,0,0,4475,0,123.091,1449.918,730.44,2171.551,803,0,22.088,260.175,131.071,389.666
1,1,2,4,1,1,2,1,2,0,1,3223,0,0,0,582.255,2640.745,537,0,0,0,97.012,439.988
2,3,8,2,1,6,2,1,2,0,1,6842,0,693.421,0,678.938,5469.641,472,0,47.836,0,46.837,377.327
1,2,3,5,1,4,1,1,2,0,0,2729,0,362.948,0,1034.448,1331.604,468,0,62.242,0,177.399,228.359
3,5,17,5,3,1,2,1,1,1,1,3303,354.059,1000.993,0,677.125,1270.823,458,49.094,138.8,0,93.891,176.215
1,1,2,4,1,1,3,1,0,1,0,7376,0,0,3429.591,1355.73,2590.679,1342,0,0,623.985,246.663,471.352
2,3,6,5,1,1,1,1,1,0,0,1525,0,0,0,465.98,1059.02,172,0,0,0,52.556,119.444
2,4,12,4,4,8,1,1,2,2,0,20840,7194.902,1819.36,3314.024,1539.054,6972.66,1707,589.333,149.023,271.451,126.064,571.129
3,6,18,4,4,4,2,1,2,1,0,7508,2027.752,616.16,1570.505,845.036,2448.548,755,203.909,61.961,157.929,84.976,246.225
4,10,27,2,3,2,3,1,2,1,1,4118,0,1304.327,0,308.987,2504.686,954,0,302.168,0,71.582,580.25
4,8,22,2,1,4,2,1,3,0,1,15542,731.557,0,2966.415,954.009,10890.02,1572,73.993,0,300.039,96.493,1101.474
4,10,26,2,2,2,3,2,6,1,1,26876,0,8169.269,0,3205.02,15501.711,6493,0,1973.622,0,774.304,3745.074
3,7,21,2,3,6,3,2,4,1,1,18628,0,5744.834,2887.088,1578.131,8417.946,2307,0,711.474,357.554,195.445,1042.527
2,3,7,2,1,1,2,1,1,0,1,7954,0,494.65,0,1249.076,6210.274,733,0,45.584,0,115.108,572.307
3,7,21,5,3,3,2,1,2,0,0,6727,0,2668.131,0,1019.679,3039.19,803,0,318.494,0,121.719,362.787
4,10,26,1,2,2,1,1,1,0,0,2624,540.923,292.267,0,460.345,1330.466,303,62.462,33.749,0,53.157,153.632
1,2,5,3,4,1,4,1,4,2,1,7383,313.539,1327.47,0,987.048,4754.943,1213,51.5,218.042,0,162.126,781.018
1,2,3,5,4,5,2,1,2,0,1,1815,897.689,94.968,0,258.877,563.465,261,129.015,13.649,0,37.206,80.981
3,5,16,2,4,4,2,1,2,0,1,13292,2607.619,1675.101,2216.237,1835.975,4957.069,1034,202.85,130.308,172.404,142.823,385.616
2,4,12,2,4,3,2,1,2,0,1,5453,0,1271.554,0,600.385,3581.061,502,0,117.061,0,55.272,329.679
4,8,23,2,1,5,2,2,4,1,0,16240,0,599.593,0,2645.933,12994.474,1525,0,56.304,0,248.464,1220.232
1,2,3,4,4,1,4,1,2,1,1,6729,0,1124.838,0,876.057,4728.105,1155,0,193.073,0,150.371,811.556
3,6,19,1,4,5,1,1,1,1,0,10354,0,2495.115,0,2599.479,5259.406,1292,0,311.347,0,324.37,656.283
4,10,26,3,2,6,2,1,1,1,1,4847,0,463.557,0,1110.059,3273.384,837,0,80.049,0,191.69,565.261
3,7,21,2,3,5,2,1,7,1,1,18563,2652.077,4421.223,2321.623,1234.957,7933.121,2298,328.313,547.324,287.404,152.881,982.078
2,4,12,2,4,4,2,1,2,1,1,22836,5363.916,1707.554,3620.518,1225.687,10918.325,2208,518.634,165.102,350.066,118.511,1055.687
2,4,12,2,4,8,2,2,5,2,1,9660,0,1320.505,1821.265,1945.875,4572.356,807,0,110.315,152.149,162.559,381.976
1,2,4,2,4,5,2,1,5,0,1,4148,0,419.811,0,602.514,3125.675,724,0,73.275,0,105.164,545.561
3,5,16,1,4,8,2,1,3,1,1,12458,2342.185,1259.153,1730.138,578.727,6547.798,1352,254.185,136.649,187.763,62.806,710.597
4,10,26,2,2,4,3,1,3,1,1,2771,341.854,0,0,736.456,1692.691,392,48.415,0,0,104.3,239.726
1,2,3,2,1,3,2,1,4,1,0,6719,0,208.97,0,923.654,5586.376,862,0,26.809,0,118.498,716.692
3,6,19,2,4,1,2,1,3,1,0,8052,0,0,1680.729,910.319,5460.953,866,0,0,180.726,97.885,587.207
3,6,19,5,4,4,3,1,3,2,0,8240,2548.145,521.708,2186.138,586.483,2397.526,751,232.24,47.549,199.246,53.453,218.512
2,4,10,5,1,3,2,1,1,0,0,4069,0,188.914,0,1420.154,2459.932,512,0,23.771,0,178.697,309.532
4,10,26,5,5,8,1,1,1,0,0,3164,1601.588,0,0,453.235,1109.177,414,209.563,0,0,59.304,145.132
1,2,3,5,4,1,1,1,1,1,0,1243,0,89.082,0,208.138,945.78,456,0,32.68,0,76.356,346.963
